year,month,day,hour,temp,dewPt,rh,pressure,wdir,wspd,uv_index,vis,heat_index,wc,feels_like,precip_hrly,clds,wdir_cardinal
2019,1,1,14,1,-15,30,940,350,33,0,16,1,-6,-6,0,1,1
2019,1,1,15,1,-15,30,940,350,33,0,16,1,-6,-6,0,2,0
2019,1,1,16,1,-15,30,940,340,30,0,16,1,-6,-6,0,2,0
2019,1,1,17,1,-15,30,940,350,26,0,16,1,-5,-5,0,2,0
2019,1,1,18,1,-16,28,940,360,35,0,16,1,-6,-6,0,2,0
2019,1,1,19,1,-16,28,940,350,33,0,16,1,-6,-6,0,2,0
2019,1,1,20,1,-16,28,940,360,30,0,16,1,-6,-6,0,2,0
2019,1,1,21,1,-16,28,941,360,24,0,16,1,-5,-5,0,2,0
2019,1,1,22,1,-16,28,941,350,24,0,16,1,-5,-5,0,2,15
2019,1,1,23,1,-16,28,942,10,26,0,16,1,-5,-5,0,2,0
2019,1,2,0,1,-16,28,942,350,24,0,16,1,-5,-5,0,2,15
2019,1,2,14,3,-16,24,945,350,26,2,16,3,-2,-2,0,1,0
2019,1,2,15,4,-16,22,945,30,33,2,16,4,-2,-2,0,2,1
2019,1,2,16,4,-16,22,945,10,17,2,16,4,0,0,0,2,0
2019,1,2,17,4,-17,21,944,360,20,3,16,4,-1,-1,0,2,15
2019,1,2,18,4,-17,21,944,20,26,3,16,4,-1,-1,0,2,0
2019,1,2,19,5,-17,19,944,10,20,3,16,5,1,1,0,2,0
2019,1,2,20,5,-17,19,944,10,24,2,16,5,1,1,0,2,15
2019,1,2,21,5,-17,19,943,10,26,2,16,5,0,0,0,2,0
2019,1,2,22,6,-17,18,943,360,24,2,16,6,2,2,0,2,0
2019,1,2,23,6,-17,18,943,10,28,2,16,6,1,1,0,2,0
2019,1,3,0,6,-17,18,943,10,22,2,16,6,2,2,0,2,14
2019,1,3,14,3,-14,28,944,50,13,0,16,3,-1,-1,0,2,16
2019,1,3,15,3,-14,28,944,40,15,0,16,3,-1,-1,0,2,6
2019,1,3,16,3,-14,28,944,40,17,0,16,3,-1,-1,0,2,16
2019,1,3,17,3,-14,28,944,30,22,0,16,3,-2,-2,0,2,16
2019,1,3,18,3,-15,26,944,30,19,0,16,3,-2,-2,0,2,18
2019,1,3,19,3,-15,26,944,40,22,0,16,3,-2,-2,0,2,14
2019,1,3,20,2,-15,28,944,30,20,0,16,2,-3,-3,0,2,16
2019,1,3,21,2,-15,28,944,50,22,0,16,2,-3,-3,0,2,18
2019,1,3,22,2,-15,28,944,40,22,0,16,2,-3,-3,0,2,16
2019,1,3,23,2,-15,28,944,30,24,0,16,2,-3,-3,0,2,2
2019,1,4,0,2,-15,28,944,30,22,0,16,2,-3,-3,0,2,3
2019,1,4,14,0,-17,27,945,20,11,0,16,0,-4,-4,0,4,4
2019,1,4,15,0,-18,25,945,10,7,0,16,0,-3,-3,0,2,16
2019,1,4,16,-1,-19,25,945,170,7,0,16,-1,-4,-4,0,2,16
2019,1,4,17,0,-20,21,945,360,19,0,16,0,-5,-5,0,2,16
2019,1,4,18,1,-20,20,945,360,24,0,16,1,-5,-5,0,2,16
2019,1,4,19,1,-19,22,945,10,17,0,16,1,-4,-4,0,2,5
2019,1,4,20,1,-20,20,945,20,9,0,16,1,-2,-2,0,2,16
2019,1,4,21,1,-19,22,945,20,28,0,16,1,-5,-5,0,2,18
2019,1,4,22,0,-18,25,945,30,15,0,16,0,-4,-4,0,2,16
2019,1,4,23,0,-17,27,945,30,17,0,16,0,-5,-5,0,2,14
2019,1,5,0,-1,-19,25,946,330,17,0,16,-1,-6,-6,0,2,14
2019,1,5,14,4,-19,17,948,10,30,2,16,4,-2,-2,0,2,16
2019,1,5,15,5,-19,16,948,20,26,2,16,5,0,0,0,2,16
2019,1,5,16,5,-19,16,947,350,33,2,16,5,-1,-1,0,2,16
2019,1,5,17,5,-19,16,947,350,28,3,16,5,0,0,0,2,6
2019,1,5,18,6,-19,15,947,360,20,3,16,6,2,2,0,2,16
2019,1,5,19,6,-18,16,946,30,17,3,16,6,2,2,0,2,16
2019,1,5,20,6,-18,16,946,20,11,3,16,6,3,3,0,2,16
2019,1,5,21,6,-19,15,946,10,22,2,16,6,2,2,0,2,13
2019,1,5,22,7,-18,15,945,20,20,2,16,7,3,3,0,2,15
2019,1,5,23,7,-18,15,945,360,28,2,16,7,3,3,0,3,13
2019,1,6,0,7,-18,15,945,10,26,2,16,7,3,3,0,0,14
2019,1,6,14,5,-13,26,946,20,11,0,16,5,2,2,0,0,11
2019,1,6,15,5,-13,26,946,50,11,0,16,5,2,2,0,0,16
2019,1,6,16,3,-13,30,946,50,0,0,16,3,3,3,0,0,9
2019,1,6,17,1,-13,35,946,50,7,0,16,1,-2,-2,0,1,8
2019,1,6,18,1,-12,38,947,50,7,0,16,1,-2,-2,0,1,10
2019,1,6,19,2,-14,30,947,35,0,0,16,2,2,2,0,0,11
2019,1,6,20,1,-13,35,946,20,13,0,16,1,-3,-3,0,1,11
2019,1,6,21,2,-15,28,947,70,0,0,16,2,2,2,0,2,10
2019,1,6,22,3,-16,24,947,120,0,0,16,3,3,3,0,4,9
2019,1,6,23,2,-15,28,947,170,0,0,16,2,2,2,0,2,9
2019,1,7,0,1,-14,32,947,220,0,0,16,1,1,1,0,2,9
2019,1,7,14,1,-13,35,948,278,0,0,16,1,1,1,0,0,10
2019,1,7,15,-2,-13,43,948,360,6,0,16,-2,-2,-2,0,0,9
2019,1,7,16,0,-12,41,947,40,11,0,16,0,-4,-4,0,0,8
2019,1,7,17,-2,-13,43,947,200,7,0,16,-2,-5,-5,0,0,10
2019,1,7,18,0,-13,38,947,190,7,0,16,0,-3,-3,0,1,8
2019,1,7,19,-2,-15,37,947,110,0,0,16,-2,-2,-2,0,0,9
2019,1,7,20,-3,-15,40,947,30,7,0,16,-3,-6,-6,0,1,10
2019,1,7,21,-2,-13,43,947,320,6,0,16,-2,-2,-2,0,1,10
2019,1,7,22,-3,-14,43,947,325,0,0,16,-3,-3,-3,0,1,10
