year,month,day,hour,temp,dewPt,rh,pressure,wdir,wspd,uv_index,vis,heat_index,wc,feels_like,precip_hrly,clds,wdir_cardinal
2019,1,1,14,1,-15,30,943,10,17,0,16,1,-3,-3,0,2,0
2019,1,1,15,2,-15,28,944,340,26,0,16,2,-4,-4,0,2,1
2019,1,1,16,3,-15,26,945,350,26,1,16,3,-3,-3,0,2,0
2019,1,1,17,4,-16,22,945,330,30,2,16,4,-2,-2,0,2,1
2019,1,1,18,4,-16,21,944,350,30,2,16,4,-1,-1,0,2,0
2019,1,1,19,6,-17,19,944,340,24,3,16,6,1,1,0,2,1
2019,1,1,20,6,-17,18,943,350,22,2,16,6,2,2,0,2,0
2019,1,1,21,7,-17,17,942,350,22,1,16,7,3,3,0,2,0
2019,1,1,22,7,-17,16,942,340,26,1,16,7,3,3,0,2,1
2019,1,1,23,7,-17,16,942,350,22,0,16,7,3,3,0,2,0
2019,1,2,0,6,-17,17,943,360,15,0,16,6,3,3,0,2,0
2019,1,2,14,-2,-16,33,947,237,0,0,16,-2,-2,-2,0,2,16
2019,1,2,15,-1,-15,35,947,223,6,0,16,-1,-1,-1,0,2,18
2019,1,2,16,1,-16,27,948,210,6,1,16,1,1,1,0,2,7
2019,1,2,17,4,-16,22,948,175,0,2,16,4,4,4,0,2,16
2019,1,2,18,4,-16,23,947,140,13,2,16,4,1,1,0,2,10
2019,1,2,19,6,-16,21,946,120,7,3,16,6,4,4,0,2,11
2019,1,2,20,7,-16,18,946,90,0,2,16,7,7,7,0,2,16
2019,1,2,21,8,-16,17,945,60,6,1,16,8,8,8,0,2,13
2019,1,2,22,8,-16,17,945,90,6,1,16,8,8,8,0,2,12
2019,1,2,23,8,-15,19,945,140,9,0,16,8,6,6,0,2,10
2019,1,3,0,7,-14,21,945,140,7,0,16,7,5,5,0,2,10
2019,1,3,14,-2,-11,49,947,300,7,0,16,-2,-5,-5,0,2,3
2019,1,3,15,-1,-11,47,948,350,6,0,16,-1,-1,-1,0,2,0
2019,1,3,16,3,-11,37,949,323,0,1,16,3,3,3,0,2,16
2019,1,3,17,4,-11,32,948,297,0,2,16,4,4,4,0,2,16
2019,1,3,18,6,-11,28,947,270,0,2,16,6,6,6,0,2,16
2019,1,3,19,8,-11,25,946,243,0,3,16,8,8,8,0,2,16
2019,1,3,20,9,-11,23,944,217,0,2,16,9,9,9,0,2,16
2019,1,3,21,9,-11,24,944,190,7,1,16,9,8,8,0,2,8
2019,1,3,22,10,-11,23,943,110,6,1,16,10,10,10,0,2,11
2019,1,3,23,10,-11,23,943,120,6,0,16,10,10,10,0,2,11
2019,1,4,0,9,-11,24,943,180,0,0,16,9,9,9,0,2,16
2019,1,4,14,-1,-9,54,943,340,7,0,16,-1,-3,-3,0,2,1
2019,1,4,15,1,-9,48,943,330,7,0,16,1,-2,-2,0,2,1
2019,1,4,16,4,-9,39,944,267,0,1,16,4,4,4,0,2,16
2019,1,4,17,7,-9,31,943,203,0,2,16,7,7,7,0,2,16
2019,1,4,18,8,-8,32,942,140,7,2,16,8,7,7,0,2,10
2019,1,4,19,10,-9,26,941,170,7,3,16,10,10,10,0,2,8
2019,1,4,20,11,-8,26,940,180,6,2,16,11,11,11,0,2,8
2019,1,4,21,12,-8,24,940,150,9,1,16,12,12,12,0,2,9
2019,1,4,22,12,-8,23,939,140,9,1,16,12,12,12,0,2,10
2019,1,4,23,12,-9,22,939,140,6,0,16,12,12,12,0,2,10
2019,1,5,0,11,-8,26,939,190,6,0,16,11,11,11,0,2,8
2019,1,5,14,2,-7,52,938,300,6,0,16,2,2,2,0,2,3
2019,1,5,15,4,-7,45,938,235,0,0,16,4,4,4,0,2,16
2019,1,5,16,5,-8,40,939,170,6,1,16,5,5,5,0,2,8
2019,1,5,17,6,-8,37,939,160,0,2,16,6,6,6,0,2,16
2019,1,5,18,8,-7,34,938,150,6,2,16,8,8,8,0,2,9
2019,1,5,19,9,-7,32,937,160,13,3,16,9,7,7,0,2,9
2019,1,5,20,9,-8,30,937,130,9,2,16,9,7,7,0,2,10
2019,1,5,21,9,-8,29,936,140,7,1,16,9,8,8,0,0,10
2019,1,5,22,9,-8,29,936,160,6,0,16,9,9,9,0,0,9
2019,1,5,23,9,-7,32,936,162,0,0,16,9,9,9,0,0,16
2019,1,6,0,8,-7,34,936,165,0,0,16,8,8,8,0,0,16
2019,1,6,14,5,4,96,935,150,0,0,9,5,5,5,0,0,11
2019,1,6,15,5,4,96,934,90,11,0,8,5,2,2,0,0,9
2019,1,6,16,5,5,100,934,110,9,0,2,5,3,3,0,0,16
2019,1,6,17,5,5,100,935,110,7,0,4,5,3,3,0,0,16
2019,1,6,18,6,5,96,934,120,9,0,4,6,3,3,0,0,12
2019,1,6,19,6,5,96,934,120,9,0,8,6,3,3,0,3,13
2019,1,6,20,6,5,96,934,110,6,0,6,6,6,6,0,0,13
2019,1,6,21,6,5,96,934,110,9,0,4,6,3,3,0,2,18
2019,1,6,22,6,5,93,935,100,7,0,9,6,4,4,0,3,18
2019,1,6,23,6,5,96,935,100,7,0,12,6,4,4,0,3,12
2019,1,7,0,6,5,96,935,110,9,0,12,6,3,3,0,2,12
2019,1,7,14,11,4,63,936,80,6,1,16,11,11,11,0,0,11
2019,1,7,15,12,4,61,937,90,6,0,16,12,12,12,0,0,12
2019,1,7,16,11,5,68,937,100,15,0,16,11,11,11,0,0,12
2019,1,7,17,9,6,77,937,80,13,0,16,9,7,7,0,1,13
2019,1,7,18,8,6,86,937,70,19,0,16,8,4,4,0,1,13
2019,1,7,19,8,4,79,938,120,11,0,16,8,6,6,0,0,14
2019,1,7,20,7,4,85,939,100,9,0,16,7,4,4,0,0,13
2019,1,7,21,7,4,80,939,90,13,0,16,7,4,4,0,0,13
2019,1,7,22,7,4,80,938,110,26,0,16,7,3,3,0,0,12
2019,1,7,23,8,3,68,938,140,24,0,16,8,4,4,0,0,12
2019,1,8,0,8,3,71,938,160,19,0,16,8,5,5,0,0,12
2019,1,8,14,11,5,68,944,60,15,1,16,11,11,11,0,2,0
2019,1,8,15,11,5,68,944,60,17,1,16,11,11,11,0,2,1
2019,1,8,16,11,5,68,944,60,15,1,16,11,11,11,0,2,4
2019,1,8,17,10,5,71,944,80,20,0,16,10,10,10,0,2,16
2019,1,8,18,10,4,68,945,80,15,0,16,10,10,10,0,2,16
2019,1,8,19,10,4,68,946,90,7,0,16,10,10,10,0,2,16
2019,1,8,20,9,5,74,946,113,0,0,16,9,9,9,0,2,8
2019,1,8,21,9,5,74,947,137,0,0,16,9,9,9,0,2,8
2019,1,8,22,9,5,74,947,160,6,0,16,9,9,9,0,2,11
2019,1,8,23,9,5,74,947,130,6,0,16,9,9,9,0,2,9
2019,1,9,0,9,5,74,947,210,0,0,16,9,9,9,0,2,7
2019,1,9,14,12,3,55,945,230,0,2,16,12,12,12,0,2,16
2019,1,9,15,13,3,53,944,205,0,3,16,13,13,13,0,2,16
2019,1,9,16,13,3,49,944,180,7,2,16,13,13,13,0,2,16
2019,1,9,17,14,3,47,943,190,9,2,16,14,14,14,0,2,10
2019,1,9,18,14,3,46,943,120,9,1,16,14,14,14,0,2,9
2019,1,9,19,14,2,44,943,160,15,0,16,14,14,14,0,2,11
2019,1,9,20,13,2,47,943,200,6,0,16,13,13,13,0,2,9
2019,1,9,21,13,2,49,943,220,7,0,16,13,13,13,0,2,11
2019,1,9,22,12,2,52,943,231,0,0,16,12,12,12,0,2,11
2019,1,9,23,11,2,56,943,243,0,0,16,11,11,11,0,2,11
2019,1,10,0,9,3,64,943,254,0,0,16,9,9,9,0,2,10
2019,1,10,1,9,3,68,944,266,0,0,16,9,9,9,0,2,8
2019,1,10,2,9,3,68,943,277,0,0,16,9,9,9,0,2,4
2019,1,10,3,8,3,71,943,289,0,0,16,8,8,8,0,2,5
2019,1,10,4,7,3,76,943,300,7,0,16,7,5,5,0,2,2
2019,1,10,5,7,3,76,944,350,7,0,16,7,5,5,0,2,0
2019,1,10,6,7,3,74,943,350,13,0,16,7,4,4,0,2,1
2019,1,10,7,7,2,73,943,317,0,0,16,7,7,7,0,2,1
2019,1,10,8,6,2,76,943,283,0,0,16,6,6,6,0,2,16
2019,1,10,9,6,2,76,943,250,6,0,16,6,6,6,0,2,3
2019,1,10,10,6,2,76,944,222,0,0,16,6,6,6,0,2,2
2019,1,10,11,7,2,73,944,195,0,0,16,7,7,7,0,2,1
2019,1,10,12,11,3,61,944,168,0,1,16,11,11,11,0,2,16
2019,1,10,13,12,3,55,945,140,6,2,16,12,12,12,0,2,2
2019,1,10,14,12,2,51,944,150,9,2,16,12,12,12,0,2,1
2019,1,10,15,14,2,44,942,110,15,3,16,14,14,14,0,2,3
2019,1,10,16,15,2,42,941,160,11,2,16,15,15,15,0,2,4
2019,1,10,17,16,2,41,941,120,11,2,16,16,16,16,0,2,6
2019,1,10,18,16,2,39,940,110,15,1,16,16,16,16,0,2,16
2019,1,10,19,16,2,41,940,110,11,0,16,16,16,16,0,2,16
2019,1,10,20,14,2,45,940,130,9,0,16,14,14,14,0,2,9
2019,1,10,21,13,2,47,941,180,9,0,16,13,13,13,0,2,9
2019,1,10,22,12,2,52,941,270,6,0,16,12,12,12,0,2,10
2019,1,10,23,11,3,59,941,240,7,0,16,11,11,11,0,2,10
2019,1,11,0,9,3,64,941,310,6,0,16,9,9,9,0,2,10
2019,1,11,1,8,2,68,942,350,6,0,16,8,8,8,0,2,7
2019,1,11,2,8,2,66,941,330,11,0,16,8,6,6,0,2,3
2019,1,11,3,7,2,71,941,340,6,0,16,7,7,7,0,2,2
2019,1,11,4,6,2,74,940,320,0,0,16,6,6,6,0,2,1
2019,1,11,5,6,2,76,941,300,7,0,16,6,4,4,0,2,1
2019,1,11,6,6,1,73,941,320,9,0,16,6,3,3,0,2,16
2019,1,11,7,6,1,73,940,330,6,0,16,6,6,6,0,2,16
2019,1,11,8,6,2,74,940,320,0,0,16,6,6,6,0,2,8
2019,1,11,9,5,1,76,941,310,9,0,16,5,3,3,0,2,2
2019,1,11,10,4,1,79,941,330,6,0,16,4,4,4,0,2,2
2019,1,11,11,6,2,74,942,300,9,0,16,6,4,4,0,2,3
2019,1,11,12,10,2,59,943,280,7,1,16,10,10,10,0,2,3
2019,1,11,13,12,3,55,943,230,6,2,16,12,12,12,0,2,12
2019,1,11,14,14,3,47,942,207,0,2,16,14,14,14,0,2,2
2019,1,11,15,14,2,44,940,183,0,3,16,14,14,14,0,2,3
2019,1,11,16,16,2,41,939,160,7,2,16,16,16,16,0,2,16
2019,1,11,17,17,2,38,939,150,11,2,16,17,17,17,0,2,16
2019,1,11,18,16,2,39,939,130,7,1,16,16,16,16,0,2,10
