year,month,day,hour,temp,dewPt,rh,pressure,wdir,wspd,uv_index,vis,heat_index,wc,feels_like,precip_hrly,clds,wdir_cardinal
2019,1,1,14,4,-14,26,997,360,19,0,32,4,0,0,0,2,0
2019,1,1,15,5,-14,24,997,360,41,0,16,5,-1,-1,0,2,0
2019,1,1,16,6,-15,21,998,350,41,1,16,6,1,1,0,2,0
2019,1,1,17,7,-16,18,998,340,57,2,16,7,1,1,0,2,1
2019,1,1,18,8,-15,18,998,350,48,2,16,8,3,3,0,2,0
2019,1,1,19,9,-16,16,996,360,43,3,16,9,4,4,0,2,0
2019,1,1,20,9,-15,17,996,340,43,2,32,9,4,4,0,2,1
2019,1,1,21,9,-15,17,996,330,35,1,16,9,4,4,0,2,1
2019,1,1,22,9,-15,17,996,330,39,1,16,9,4,4,0,2,1
2019,1,1,23,9,-15,17,996,340,31,0,16,9,5,5,0,2,1
2019,1,2,0,9,-15,17,997,350,20,0,16,9,6,6,0,2,0
2019,1,2,14,4,-14,26,1000,350,31,0,16,4,-2,-2,0,2,0
2019,1,2,15,5,-14,24,1000,340,50,0,16,5,-2,-2,0,2,1
2019,1,2,16,6,-14,23,1000,350,48,1,16,6,0,0,0,2,0
2019,1,2,17,7,-15,20,1001,330,50,2,16,7,1,1,0,2,1
2019,1,2,18,8,-14,20,1000,340,52,2,16,8,2,2,0,2,1
2019,1,2,19,9,-15,17,999,340,48,3,16,9,4,4,0,2,1
2019,1,2,20,10,-16,15,998,330,50,2,16,10,10,10,0,2,1
2019,1,2,21,10,-16,15,998,340,44,1,16,10,10,10,0,2,1
2019,1,2,22,11,-15,15,997,340,44,1,16,11,11,11,0,2,1
2019,1,2,23,11,-15,15,998,330,39,0,16,11,11,11,0,2,1
2019,1,3,0,10,-13,19,998,340,33,0,16,10,10,10,0,2,1
2019,1,3,14,6,-9,34,1001,20,28,0,16,6,1,1,0,2,15
2019,1,3,15,6,-9,34,1001,10,24,0,16,6,2,2,0,2,0
2019,1,3,16,7,-8,34,1002,10,26,1,16,7,3,3,0,2,0
2019,1,3,17,9,9,100,1002,360,37,2,16,9,4,4,0,2,0
2019,1,3,18,10,-11,22,1000,360,37,2,16,10,10,10,0,2,0
2019,1,3,19,12,-10,21,998,360,41,3,16,12,12,12,0,2,0
2019,1,3,20,12,-9,22,997,330,41,2,16,12,12,12,0,2,1
2019,1,3,21,13,-10,20,996,350,37,1,16,13,13,13,0,2,0
2019,1,3,22,13,-11,18,996,350,37,1,16,13,13,13,0,2,0
2019,1,3,23,13,-10,20,996,350,30,0,16,13,13,13,0,2,0
2019,1,4,0,12,-9,22,996,360,22,0,16,12,12,12,0,2,0
2019,1,4,14,1,-9,48,996,303,0,0,16,1,1,1,0,2,16
2019,1,4,15,3,-9,41,997,247,0,0,16,3,3,3,0,2,16
2019,1,4,16,4,-9,39,997,190,9,1,16,4,1,1,0,2,8
2019,1,4,17,7,-7,37,997,190,11,2,16,7,4,4,0,2,8
2019,1,4,18,10,-8,28,996,360,19,2,16,10,10,10,0,2,0
2019,1,4,19,13,-9,21,994,360,24,3,16,13,13,13,0,2,0
2019,1,4,20,15,-10,17,994,360,20,2,16,15,15,15,0,2,0
2019,1,4,21,16,-10,16,993,340,19,2,16,16,16,16,0,2,1
2019,1,4,22,16,-10,16,993,232,19,1,32,16,16,16,0,2,6
2019,1,4,23,16,-9,17,992,360,15,0,32,16,16,16,0,2,0
2019,1,5,0,15,-9,19,992,324,0,0,32,15,15,15,0,2,16
2019,1,5,14,4,-7,45,992,288,0,0,16,4,4,4,0,2,16
2019,1,5,15,5,-7,42,992,252,0,0,32,5,5,5,0,0,16
2019,1,5,16,6,-6,42,992,216,0,0,32,6,6,6,0,0,16
2019,1,5,17,7,-4,46,993,180,13,1,32,7,4,4,0,0,8
2019,1,5,18,8,-6,37,993,200,11,1,32,8,6,6,0,0,7
2019,1,5,19,8,-6,37,992,193,0,1,32,8,8,8,0,0,16
2019,1,5,20,9,-6,34,991,186,0,2,32,9,9,9,0,2,16
2019,1,5,21,10,-6,32,991,179,0,1,32,10,10,10,0,0,16
2019,1,5,22,10,-6,32,991,171,0,0,32,10,10,10,0,0,16
2019,1,5,23,9,-4,40,991,164,0,0,32,9,9,9,0,0,16
2019,1,6,0,9,-2,46,991,157,0,0,32,9,9,9,0,0,16
2019,1,6,14,7,6,93,992,150,11,0,9,7,4,4,0,0,9
2019,1,6,15,7,6,93,992,160,0,0,8,7,7,7,0,0,16
2019,1,6,16,7,7,100,993,170,7,0,3,7,6,6,0,0,8
2019,1,6,17,7,7,100,994,168,4,1,3,7,7,7,0,0,17
2019,1,6,18,8,7,93,994,165,0,1,6,8,8,8,0,0,16
2019,1,6,19,8,8,100,994,162,0,1,8,8,8,8,0,0,9
2019,1,6,20,11,8,82,993,160,19,1,16,11,11,11,0,0,8
2019,1,6,21,12,7,72,992,180,22,1,16,12,12,12,0,0,9
2019,1,6,22,13,7,67,993,160,19,1,32,13,13,13,0,1,8
2019,1,6,23,13,6,63,993,170,22,0,32,13,13,13,0,1,8
2019,1,7,0,13,7,67,993,170,19,0,32,13,13,13,0,1,8
2019,1,7,14,12,7,72,994,180,13,0,32,12,12,12,0,1,10
2019,1,7,15,9,7,87,998,140,13,0,24,9,7,7,0,0,16
2019,1,7,16,9,7,87,999,160,0,0,16,9,9,9,0,0,8
2019,1,7,17,10,7,82,1000,180,9,0,16,10,10,10,0,0,10
2019,1,7,18,11,7,76,1000,140,13,1,16,11,11,11,0,0,7
2019,1,7,19,12,7,72,1000,200,11,1,16,12,12,12,0,0,7
2019,1,7,20,14,8,67,999,200,7,1,16,14,14,14,0,1,16
2019,1,7,21,14,8,67,998,190,0,1,32,14,14,14,0,0,8
2019,1,7,22,15,7,59,998,180,15,1,16,15,15,15,0,1,6
2019,1,7,23,15,7,59,998,220,9,0,16,15,15,15,0,3,6
2019,1,8,0,15,7,59,998,220,7,0,16,15,15,15,0,1,16
2019,1,8,14,15,7,59,999,290,0,0,16,15,15,15,0,1,0
2019,1,8,15,11,6,71,998,360,30,0,32,11,11,11,0,0,0
2019,1,8,16,12,5,62,999,10,35,0,16,12,12,12,0,1,0
2019,1,8,17,13,5,58,999,360,33,0,32,13,13,13,0,0,0
