year,month,day,hour,temp,dewPt,rh,pressure,wdir,wspd,uv_index,vis,heat_index,wc,feels_like,precip_hrly,clds,wdir_cardinal
2019,1,1,14,0,-15,32,956,320,19,0,16,0,-5,-5,0,2,2
2019,1,1,15,2,-15,28,957,310,17,0,16,2,-2,-2,0,2,2
2019,1,1,16,3,-15,26,957,340,20,1,16,3,-1,-1,0,2,1
2019,1,1,17,4,-16,23,958,350,28,2,16,4,-1,-1,0,2,0
2019,1,1,18,5,-16,21,957,360,28,2,16,5,0,0,0,2,0
2019,1,1,19,6,-16,20,956,10,33,2,16,6,1,1,0,2,0
2019,1,1,20,6,-16,19,955,20,24,2,16,6,2,2,0,2,15
2019,1,1,21,7,-16,19,954,340,24,1,16,7,3,3,0,2,1
2019,1,1,22,7,-16,19,955,10,24,1,16,7,3,3,0,2,0
2019,1,1,23,7,-16,18,954,290,11,0,16,7,5,5,0,2,3
2019,1,2,0,7,-16,18,955,290,7,0,16,7,5,5,0,2,3
2019,1,2,14,-1,-17,30,960,10,20,0,16,-1,-6,-6,0,2,0
2019,1,2,15,1,-17,28,960,40,11,0,16,1,-3,-3,0,2,14
2019,1,2,16,2,-16,26,961,200,0,1,16,2,2,2,0,2,16
2019,1,2,17,4,-16,24,960,360,24,2,16,4,-1,-1,0,2,0
2019,1,2,18,6,-15,22,959,243,0,2,16,6,6,6,0,2,16
2019,1,2,19,6,-15,20,958,127,0,2,16,6,6,6,0,2,16
2019,1,2,20,8,-15,18,957,10,20,2,16,8,4,4,0,2,0
2019,1,2,21,8,-15,18,957,10,17,1,16,8,6,6,0,2,0
2019,1,2,22,8,-14,19,957,20,19,1,16,8,6,6,0,2,15
2019,1,2,23,8,-14,20,957,20,22,0,16,8,5,5,0,2,15
2019,1,3,0,7,-15,20,958,10,17,0,16,7,4,4,0,2,0
2019,1,3,14,-4,-13,49,960,310,7,0,16,-4,-7,-7,0,2,2
2019,1,3,15,-3,-13,46,961,285,0,0,16,-3,-3,-3,0,2,16
2019,1,3,16,0,-12,40,961,260,0,1,16,0,0,0,0,2,16
2019,1,3,17,3,-11,35,961,235,0,2,16,3,3,3,0,2,16
2019,1,3,18,6,-11,31,960,210,0,2,16,6,6,6,0,2,16
2019,1,3,19,8,-10,27,958,185,0,3,16,8,8,8,0,2,16
2019,1,3,20,8,-10,27,957,160,0,2,16,8,8,8,0,2,16
2019,1,3,21,9,-10,25,956,135,0,1,16,9,9,9,0,2,16
2019,1,3,22,9,-10,25,956,110,0,1,16,9,9,9,0,2,16
2019,1,3,23,9,-10,25,955,85,0,0,16,9,9,9,0,2,16
2019,1,4,0,9,-11,24,955,60,0,0,16,9,9,9,0,2,16
2019,1,4,14,-4,-12,54,955,10,6,0,16,-4,-4,-4,0,2,0
2019,1,4,15,-2,-11,52,956,60,0,0,16,-2,-2,-2,0,2,16
2019,1,4,16,1,-10,46,956,110,0,1,16,1,1,1,0,2,16
2019,1,4,17,4,-9,38,955,160,0,2,16,4,4,4,0,2,16
2019,1,4,18,7,-8,33,954,210,6,2,16,7,7,7,0,2,7
2019,1,4,19,10,-8,26,953,192,0,3,16,10,10,10,0,2,16
2019,1,4,20,11,-8,26,951,174,0,2,16,11,11,11,0,2,16
2019,1,4,21,12,-8,25,951,156,0,1,16,12,12,12,0,2,16
2019,1,4,22,12,-8,24,951,138,0,1,16,12,12,12,0,2,16
2019,1,4,23,12,-8,24,950,120,6,0,16,12,12,12,0,2,11
2019,1,5,0,10,-8,28,951,65,0,0,16,10,8,8,0,2,16
2019,1,5,14,1,-9,50,950,141,0,0,16,1,1,1,0,2,16
2019,1,5,15,1,-9,50,950,154,0,0,16,1,1,1,0,2,16
2019,1,5,16,3,-8,46,951,166,0,0,16,3,3,3,0,1,16
2019,1,5,17,3,-8,45,950,178,0,1,16,3,3,3,0,4,16
2019,1,5,18,5,-7,42,950,190,6,2,16,5,5,5,0,3,8
2019,1,5,19,7,-7,38,949,192,0,3,16,7,7,7,0,2,16
2019,1,5,20,8,-7,35,949,195,0,1,16,8,8,8,0,3,16
2019,1,5,21,8,-7,34,948,198,0,1,16,8,8,8,0,2,16
2019,1,5,22,9,-6,34,948,200,6,0,16,9,9,9,0,4,7
2019,1,5,23,8,-6,37,948,190,0,0,16,8,8,8,0,1,16
2019,1,6,0,8,-5,40,948,180,0,0,16,8,8,8,0,1,16
2019,1,6,14,4,4,97,949,51,0,0,8,4,4,4,3,1,13
2019,1,6,15,5,4,99,949,72,0,0,14,5,5,5,2,1,0
2019,1,6,16,5,5,100,948,93,0,0,14,5,5,5,0,1,0
2019,1,6,17,5,5,100,948,114,0,0,14,5,5,5,0,1,16
2019,1,6,18,5,5,98,948,136,0,0,14,5,5,5,1,1,16
2019,1,6,19,5,5,100,948,157,0,0,11,5,5,5,0,1,1
2019,1,6,20,5,5,100,948,178,0,0,9,5,5,5,0,1,0
2019,1,6,21,5,5,100,948,199,0,0,4,5,5,5,1,3,14
2019,1,6,22,5,5,100,948,220,6,0,6,5,5,5,0,2,12
2019,1,6,23,5,5,100,949,110,7,0,4,5,3,3,0,3,13
2019,1,7,0,5,5,100,948,105,0,0,4,5,5,5,0,2,13
2019,1,7,14,5,5,100,947,30,11,0,6,5,2,2,0,0,11
2019,1,7,15,5,5,100,946,360,7,0,6,5,3,3,0,0,11
2019,1,7,16,6,6,100,947,360,13,0,4,6,3,3,0,0,12
2019,1,7,17,6,6,100,947,10,15,0,3,6,3,3,0,1,14
2019,1,7,18,6,6,100,947,10,17,0,2,6,2,2,0,4,15
2019,1,7,19,6,6,100,946,30,17,0,3,6,2,2,0,1,14
2019,1,7,20,6,6,100,946,30,11,0,4,6,3,3,0,1,13
2019,1,7,21,6,6,100,946,40,13,0,6,6,3,3,0,1,14
2019,1,7,22,6,6,100,946,20,13,0,8,6,3,3,0,0,0
2019,1,7,23,6,6,100,946,20,11,0,16,6,3,3,0,0,0
2019,1,8,0,6,6,100,947,60,7,0,16,6,4,4,0,0,14
2019,1,8,14,8,8,100,949,13,0,1,16,8,8,8,0,2,16
2019,1,8,15,9,9,100,949,16,0,1,16,9,9,9,0,4,16
2019,1,8,16,9,9,100,949,19,0,1,16,9,9,9,0,3,14
2019,1,8,17,9,9,100,949,21,0,1,16,9,9,9,0,1,16
2019,1,8,18,8,8,100,950,24,0,1,16,8,8,8,0,1,8
2019,1,8,19,9,8,93,949,27,0,1,16,9,9,9,0,1,16
2019,1,8,20,9,9,100,950,30,6,1,16,9,9,9,0,1,16
2019,1,8,21,9,7,83,949,350,7,1,16,9,8,8,0,2,16
2019,1,8,22,10,9,94,949,330,7,1,16,10,10,10,0,1,13
2019,1,8,23,10,9,94,949,10,13,2,16,10,10,10,0,2,13
2019,1,9,0,10,8,87,949,360,11,1,16,10,10,10,0,2,12
2019,1,9,14,8,4,76,951,130,22,0,16,8,5,5,0,1,16
2019,1,9,15,8,4,75,951,110,17,0,16,8,6,6,0,3,16
2019,1,9,16,8,4,74,950,130,37,0,16,8,4,4,0,4,16
2019,1,9,17,9,4,71,950,140,37,0,16,9,4,4,0,4,16
2019,1,9,18,9,3,66,950,120,33,0,16,9,5,5,0,2,16
