year,month,day,hour,temp,dewPt,rh,pressure,wdir,wspd,uv_index,vis,heat_index,wc,feels_like,precip_hrly,clds,wdir_cardinal
2019,1,1,14,2,-14,29,943,340,19,0,16,2,-3,-3,0,2,0
2019,1,1,15,2,-14,30,944,360,24,0,16,2,-4,-4,0,2,0
2019,1,1,16,2,-14,29,945,360,24,0,16,2,-3,-3,0,2,0
2019,1,1,17,3,-14,27,946,10,28,1,16,3,-2,-2,0,2,0
2019,1,1,18,4,-16,22,946,360,20,2,16,4,0,0,0,2,0
2019,1,1,19,5,-16,21,945,360,24,2,16,5,1,1,0,2,0
2019,1,1,20,6,-16,20,944,360,26,3,16,6,1,1,0,2,0
2019,1,1,21,7,-16,18,943,10,20,2,16,7,3,3,0,2,14
2019,1,1,22,7,-16,18,943,50,22,1,16,7,3,3,0,2,0
2019,1,1,23,8,-17,16,943,360,17,1,16,8,4,4,0,2,14
2019,1,2,0,7,-16,18,943,50,11,0,16,7,5,5,0,2,15
2019,1,2,14,-1,-16,31,947,85,0,0,16,-1,-1,-1,0,4,16
2019,1,2,15,-1,-16,32,948,52,0,0,16,-1,-1,-1,0,2,15
2019,1,2,16,1,-16,28,948,20,7,0,16,1,-2,-2,0,2,1
2019,1,2,17,2,-16,26,949,340,6,1,16,2,2,2,0,2,14
2019,1,2,18,3,-16,25,949,50,9,2,16,3,0,0,0,2,13
2019,1,2,19,4,-16,22,948,70,9,2,16,4,2,2,0,2,14
2019,1,2,20,6,-16,19,947,40,15,3,16,6,3,3,0,2,0
2019,1,2,21,7,-16,19,946,10,15,2,16,7,3,3,0,4,14
2019,1,2,22,8,-16,17,946,40,7,1,16,8,7,7,0,4,14
2019,1,2,23,9,-15,17,946,40,9,0,16,9,7,7,0,4,14
2019,1,3,0,8,-14,19,946,40,11,0,16,8,6,6,0,4,15
2019,1,3,14,-1,-11,46,948,220,6,0,16,-1,-1,-1,0,2,7
2019,1,3,15,-1,-12,43,948,200,9,0,16,-1,-4,-4,0,2,6
2019,1,3,16,2,-11,39,949,230,6,0,16,2,2,2,0,2,4
2019,1,3,17,4,-12,31,949,280,6,1,16,4,4,4,0,2,12
2019,1,3,18,6,-11,31,949,80,7,2,16,6,4,4,0,2,16
2019,1,3,19,7,-11,28,948,73,0,2,16,7,7,7,0,2,16
2019,1,3,20,9,-11,24,946,67,0,3,16,9,9,9,0,2,13
2019,1,3,21,9,-11,24,945,60,6,2,16,9,9,9,0,2,16
2019,1,3,22,10,-10,24,945,85,0,1,16,10,10,10,0,2,16
2019,1,3,23,11,-10,23,944,110,0,1,16,11,11,11,0,2,16
2019,1,4,0,11,-10,23,944,135,0,0,16,11,11,11,0,2,16
2019,1,4,14,1,-9,50,943,210,11,0,16,1,-3,-3,0,4,16
